Question,expected_answer,actual_answer,eval_score,eval_reasoning,latency,factual_accuracy,completeness,relevance,clarity
"What is the primary objective of the IFSCA (FinTech Incentive) Scheme, 2022?","The primary objective of the International Financial Services Centres Authority (FinTech Incentive) Scheme, 2022, is to promote the establishment of a world-class FinTech Hub at the IFSC in India by providing financial support in the form of specific grants to FinTech activities.","The primary objective of the IFSCA (FinTech Incentive) Scheme, 2022 is to promote the establishment of a world-class FinTech Hub at GIFT International Financial Services Centre (IFSC) in India. This is achieved by providing financial support in the form of specific grants to eligible applicants, as detailed in the ""FinTech Incentive Scheme"" and reiterated in the ""Frequently Asked Questions (FAQs) On Milestones & Illustrative Permissible Expenses For Reimbursement Under IFSCA (FinTech Incentive) Scheme, 2022"" and ""Guidelines for implementation of the IFSCA (FinTech Incentive) Scheme, 2022"".",85,"The actual answer is factually accurate and relevant. It also covers most of the important points. However, the clarity is poor due to the inclusion of unnecessary details and references to specific documents, making it less concise and harder to understand at a glance. The completeness score is reduced because it doesn't explicitly state the financial support is for FinTech activities, although it is implied.",5.21,40.0,25.0,20.0,0.0
"Who is eligible for the FinTech Incentive Scheme as a ""Domestic FinTech""?","A ""Domestic FinTech"" is eligible if it is seeking access to overseas markets or listing on IFSCA-recognized stock exchanges, or if it is extending business to the IFSCs via authorization, registration, or the regulatory sandbox.1

Furthermore, the applicant must satisfy one of these conditions:
Registered with DPIIT as a FinTech-related start-up.2
Incorporated as a company or LLP, or a 'Branch' of an Indian company or LLP in IFSC.3
An Individual who is a resident citizen.4
An entity working directly or indirectly in the ecosystem regulated by RBI, SEBI, IRDAI, or PFRDA.","As a ""Domestic FinTech,"" an applicant is eligible for the FinTech Incentive Scheme if they are a resident individual or an entity incorporated or established in India and regulated by the International Financial Services Centres Authority (IFSCA) under an appropriate framework or regulations.

Specifically, an applicant from India is eligible if they meet any of the following conditions, as outlined in the ""FinTech Incentive Scheme"" document:

*   An entity registered as a FinTech-related start-up unit with the Department for Promotion of Industry and Internal Trade (DPIIT).
*   An entity incorporated as a company under the Companies Act, 2013, or as a Limited Liability Partnership (LLP) under the Limited Liability Partnership Act, 2008, or as a branch of an Indian company or LLP in the IFSC.
*   An individual who is a resident citizen.
*   An entity directly or indirectly operating in the ecosystem regulated by RBI, SEBI, IRDAI, or PFRDA.",95,"The actual answer is factually accurate and relevant. It covers all the important points from the expected answer, but the clarity could be improved slightly. The structure is good, but the initial statement could be more concise.",7.41,40.0,30.0,20.0,5.0
"What is the maximum grant amount available under the ""FinTech Start-up Grant""?","The maximum grant amount available under the ""FinTech Start-up Grant"" is up to ₹15 lakh.

Mentioned on Page 4 in the Hindi section and Page 9 in the English section.","The maximum grant amount available under the ""FinTech Start-up Grant"" is 1.5 INR Million, as specified in the ""Frequently Asked Questions (FAQs) On Milestones & Illustrative Permissible Expenses For Reimbursement Under IFSCA (FinTech Incentive) Scheme, 2022"" document.",100,The actual answer accurately states the maximum grant amount and correctly identifies the source document. It also provides the amount in both numerical and written forms (1.5 INR Million and ₹15 lakh). It is completely relevant and clearly written.,3.0,40.0,30.0,20.0,10.0
"Can a FinTech Entity (FE) use the ""Start-up Grant"" for marketing expenses?","Yes, 

a FinTech Entity (FE) can use the ""FinTech Start-up Grant"" for expenses related to ""go-to-market"" initiatives. The grant is expected to meet expenses towards product development, manpower costs, IT costs, etc., and related ""go-to-market"" initiatives.",,0,,0.0,,,,
"What is the maximum grant available for the ""Proof of Concept (PoC) Grant""?","The maximum grant available for the ""Proof of Concept (PoC) Grant"" is up to ₹50 lakh.",,0,,0.0,,,,
"What expenses are covered under the ""Proof of Concept (PoC) Grant""?","The Proof of Concept (PoC) Grant shall cover expenses towards manpower costs, IT costs, marketing, and prototyping costs, etc.",,0,,0.0,,,,
"What is the maximum grant amount for the ""Sandbox Grant""?","The maximum grant amount available for the ""Sand-box grant"" is up to ₹30 lakh.",,0,,0.0,,,,
"What is the maximum grant available for the ""Green FinTech Grant""?","The maximum grant available for the ""Green FinTech Grant"" is up to ₹75 lakh.",,0,,0.0,,,,
"What is the purpose of the ""Green FinTech Grant""?","The ""Green FinTech Grant"" shall be utilized towards developing solutions facilitating sustainable finance and sustainability-linked finance, including 'Environmental, Social and Governance (ESG)' investments",,0,,0.0,,,,
"What is the maximum amount an ""Accelerator"" can receive as a grant?","An eligible Accelerator applicant can receive a maximum grant amount of up to ₹10 lakh under the ""Accelerator Grant"".",,0,,0.0,,,,
