Question,Expected Answer
"What is the primary objective of the IFSCA (FinTech Incentive) Scheme, 2022?","The primary objective of the International Financial Services Centres Authority (FinTech Incentive) Scheme, 2022, is to promote the establishment of a world-class FinTech Hub at the IFSC in India by providing financial support in the form of specific grants to FinTech activities."
"Who is eligible for the FinTech Incentive Scheme as a ""Domestic FinTech""?","A ""Domestic FinTech"" is eligible if it is seeking access to overseas markets or listing on IFSCA-recognized stock exchanges, or if it is extending business to the IFSCs via authorization, registration, or the regulatory sandbox.1

Furthermore, the applicant must satisfy one of these conditions:
Registered with DPIIT as a FinTech-related start-up.2
Incorporated as a company or LLP, or a 'Branch' of an Indian company or LLP in IFSC.3
An Individual who is a resident citizen.4
An entity working directly or indirectly in the ecosystem regulated by RBI, SEBI, IRDAI, or PFRDA."
"What is the maximum grant amount available under the ""FinTech Start-up Grant""?","The maximum grant amount available under the ""FinTech Start-up Grant"" is up to ₹15 lakh.

Mentioned on Page 4 in the Hindi section and Page 9 in the English section."
"Can a FinTech Entity (FE) use the ""Start-up Grant"" for marketing expenses?","Yes, 

a FinTech Entity (FE) can use the ""FinTech Start-up Grant"" for expenses related to ""go-to-market"" initiatives. The grant is expected to meet expenses towards product development, manpower costs, IT costs, etc., and related ""go-to-market"" initiatives."
"What is the maximum grant available for the ""Proof of Concept (PoC) Grant""?","The maximum grant available for the ""Proof of Concept (PoC) Grant"" is up to ₹50 lakh."
"What expenses are covered under the ""Proof of Concept (PoC) Grant""?","The Proof of Concept (PoC) Grant shall cover expenses towards manpower costs, IT costs, marketing, and prototyping costs, etc."
"What is the maximum grant amount for the ""Sandbox Grant""?","The maximum grant amount available for the ""Sand-box grant"" is up to ₹30 lakh."
"What is the maximum grant available for the ""Green FinTech Grant""?","The maximum grant available for the ""Green FinTech Grant"" is up to ₹75 lakh."
"What is the purpose of the ""Green FinTech Grant""?","The ""Green FinTech Grant"" shall be utilized towards developing solutions facilitating sustainable finance and sustainability-linked finance, including 'Environmental, Social and Governance (ESG)' investments"
"What is the maximum amount an ""Accelerator"" can receive as a grant?","An eligible Accelerator applicant can receive a maximum grant amount of up to ₹10 lakh under the ""Accelerator Grant""."
"What is the maximum grant for ""Listing Support"" at IFSC?","The maximum grant available for the ""Listing Support Grant"" is up to ₹15 lakh."
"Can a ""Listing Support Grant"" be used for domestic road shows?","The ""Listing Support Grant"" is available for supporting Domestic FinTech Entities (FEs) aspiring to go for listing on stock exchanges recognized by the Authority. The grant can be used for meeting expenses pertaining to road shows, international travel, and listing requirements, etc.. Since the term ""road shows"" is listed without geographical restriction, and the grant is for Domestic FEs aspiring to list, it implies that the grant can be used for domestic road shows as well as international travel associated with the listing."
Who scrutinizes applications for the FinTech Incentive Scheme?,The Authority (International Financial Services Centres Authority) scrutinizes the applications for the FinTech Incentive Scheme.
Who evaluates the FinTech applications?,"The application for the FinTech Incentive Scheme is evaluated by an Evaluation Committee, which then submits its recommendation, comments, and observations to the Authority. The Authority (International Financial Services Centres Authority) makes the final decision after being satisfied with the committee's recommendations."
Who monitors the end use of the grant under the Incentive Scheme?,The Internal Committee monitors the end use of the grant under the FinTech Incentive Scheme.
What must an FE do upon successful completion of the Sandbox or Accelerator program?,"Upon successful completion of the Sandbox/accelerator/cohort/special program, the FinTech Entity (FE) must incorporate an entity at the IFSC and seek registration/license/authorisation, if applicable, under the Act."
